date,close
2014-12-02,114.9
2014-12-03,114.45
2014-12-04,114.14
2014-12-05,116.0
2014-12-08,115.08
2014-12-09,113.64
2014-12-10,113.33
2014-12-11,112.69
2014-12-12,110.33
2014-12-15,109.2
2014-12-16,108.93
2014-12-17,110.23
2014-12-18,114.64
2014-12-19,114.27
2014-12-22,114.52
2014-12-23,115.42
2014-12-24,115.51
2014-12-26,115.31
2014-12-29,114.83
2014-12-30,113.0
2014-12-31,112.32
2015-01-02,111.74
2015-01-05,108.09
2015-01-06,107.85
2015-01-07,109.42
2015-01-08,112.88
2015-01-09,111.97
2015-01-12,113.46
2015-01-13,113.89
2015-01-14,113.53
2015-01-15,114.24
2015-01-16,117.01
2015-01-20,116.74
2015-01-21,117.75
2015-01-22,118.95
2015-01-23,119.92
2015-01-26,121.07
2015-01-27,120.86
2015-01-28,120.35
2015-01-29,123.47
2015-01-30,122.07
2015-02-02,123.2
2015-02-03,125.55
2015-02-04,123.66
2015-02-05,124.19
2015-02-06,121.29
2015-02-09,120.39
2015-02-10,121.93
2015-02-11,121.23
2015-02-12,122.52
2015-02-13,121.72
2015-02-17,121.99
2015-02-18,121.87
2015-02-19,122.74
2015-02-20,123.57
2015-02-23,125.27
2015-02-24,125.51
2015-02-25,124.44
2015-02-26,127.49
2015-02-27,126.66
2015-03-02,126.77
2015-03-03,126.27
2015-03-04,126.32
2015-03-05,127.69
2015-03-06,124.8
2015-03-09,124.03
2015-03-10,119.69
2015-03-11,121.43
2015-03-12,122.93
2015-03-13,120.71
2015-03-16,122.31
2015-03-17,121.0
2015-03-18,122.76
2015-03-19,121.45
2015-03-20,122.85
2015-03-23,123.33
2015-03-24,122.34
2015-03-25,121.86
2015-03-26,121.11
2015-03-27,122.55
2015-03-30,123.55
2015-03-31,121.91
2015-04-01,123.49
2015-04-02,125.71
2015-04-06,126.66
2015-04-07,126.66
2015-04-08,125.54
2015-04-09,125.92
2015-04-10,125.09
2015-04-13,124.74
2015-04-14,125.24
2015-04-15,124.6
2015-04-16,124.59
2015-04-17,123.71
2015-04-20,122.6
2015-04-21,123.4
2015-04-22,122.19
2015-04-23,122.5
2015-04-24,123.72
2015-04-27,124.84
2015-04-28,124.41
2015-04-29,119.66
2015-04-30,120.04
2015-05-01,121.39
2015-05-04,118.27
2015-05-05,117.2
2015-05-06,119.88
2015-05-07,119.69
2015-05-08,122.59
2015-05-11,121.2
2015-05-12,120.67
2015-05-13,120.81
2015-05-14,122.71
2015-05-15,122.98
2015-05-18,122.02
2015-05-19,123.8
2015-05-20,123.4
2015-05-21,123.91
2015-05-22,122.54
2015-05-26,120.06
2015-05-27,121.94
2015-05-28,122.38
2015-05-29,120.56
2015-06-01,119.29
2015-06-02,122.0
2015-06-03,123.07
2015-06-04,121.78
2015-06-05,124.5
2015-06-08,120.59
2015-06-09,120.23
2015-06-10,122.41
2015-06-11,122.94
2015-06-12,122.02
2015-06-15,120.4
2015-06-16,121.41
